CourseID,CourseName,CourseDescription,CreationDate,Author,Quiz
1,De-engineered methodical system engine         ,Reduce rock by road son bring note. People network film forward study voice also. Physical share available place success. Each respond claim call in red.                       ,,Hector White       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
2,Function-based 3rdgeneration functionalities   ,"Return past she here tough rich. Process century wide white piece. Food outside production artist.
                                                          Remember produce there field. Network car often reveal involve focus fear.                                                                                                     ",,Wyatt Caldwell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
3,Managed foreground help-desk                   ,"Religious apply do not kind manage. Black do first about election interest week. Television along others someone difference energy.
                                                          Dog goal must. Allow none cover recently.                                                                                                                                      ",,Ronald Yates       ,nan
4,Reactive leadingedge circuit                   ,Off enter shake. Style stand majority every. Financial enough act performance former report mission TV.                                                                         ,,Robert Johnson     ,nan
5,Seamless foreground framework                  ,"Less everybody hold very fact. Country phone fill indeed can possible. Continue defense may probably hand.
                                                          From bag subject lose process. Event cut bag vote man serious.                                                                                                                 ",,Jacqueline Jensen  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
6,Configurable zero-defect ability               ,"Good across economy finish down. Game billion sport history chair might.
                                                          Most his item knowledge direction course music. Data full gas. Amount week create role evening.                                                                                ",,Nicole Lee         ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
7,Integrated heuristic projection                ,"Too administration sell. Green consumer government leave.
                                                          Hotel writer own. Feel situation property actually peace charge teach role. Impact concern bar pick attention condition.                                                       ",,Chad Cain          ,nan
8,Phased encompassing info-mediaries             ,Special feeling ten up no. Exist compare authority painting data magazine. Collection able popular story occur by.                                                              ,,Timothy Howell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
9,Public-key clear-thinking approach             ,Say compare board college position whatever news. Night live dream teach. Space class wall teach American partner. Drop attention lose.                                         ,,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
10,Profit-focused even-keeled hierarchy           ,"Job ten begin be cause significant mission. Economy reality support. Necessary well measure.
                                                          Teacher best than maintain gun red method. Market child American anyone class. Let decade charge.                                                                              ",,Timothy Howell     ,nan
11,Pre-emptive content-based budgetary management ,Positive foot movie spring crime test specific. Many so collection six push evidence floor. Benefit city make child couple as first. Knowledge check money join.                ,,Drew Bond          ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
12,Multi-lateral zero-defect alliance             ,"Series forget stuff see win feeling. Somebody expert partner part.
                                                          This during trial become deal perform. Agent represent behind. Say miss walk nature with shake. Light born goal body so.                                                       ",,Greg Mueller       ,nan
13,Ergonomic leadingedge intranet                 ,"Close culture religious lead offer early good. Article since address language easy through stand. No region possible find threat bank behavior.
                                                          Road director ten technology always she push.                                                                                                                                  ",,Samantha Salazar   ,nan
14,Seamless object-oriented capacity              ,"Interest somebody reason customer. Building oil market might sense education. Military summer team crime actually ok.
                                                          Would power near organization yeah state hot. Themselves raise lot partner.                                                                                                    ",,Robert Johnson     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
15,Multi-channeled bifurcated monitoring          ,Turn thank yet you feeling himself. Begin participant also list will institution. Necessary management leader really store parent war group. Soldier house care guy color make. ,,Drew Bond          ,nan
16,Front-line client-server encoding              ,Generation eye follow chair wish. Whom world face indeed best service. Rate manager age sound population pull laugh. Finish material better.                                    ,,Robert Owen        ,nan
17,Progressive even-keeled productivity           ,Control whatever truth cover buy give movement character.                                                                                                                       ,,Nicole Lee         ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
18,Compatible non-volatile superstructure         ,"Half unit paper person Mrs. Seat fire year drive. So fast involve standard reality still.
                                                          Around rock wait international let president. Painting support door certainly high but.                                                                                        ",,Drew Bond          ,nan
19,Innovative encompassing Graphic Interface      ,"Door room whom happy shake along argue. Say property many manager try fire.
                                                          Million add start attorney part type. Clearly buy method contain four official. Girl organization consider huge.                                                               ",,Robert Johnson     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
20,Streamlined executive strategy                 ,"Western modern just there too understand. Section fire they including cause turn blood single.
                                                          Example deal possible week enjoy sign. Less try lot. Her responsibility she.                                                                                                   ",,Nicole Lee         ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
21,Integrated global Graphical User Interface     ,"Food real already share realize. Ok perform when at American.
                                                          Bad end commercial. Candidate history crime spring suffer concern raise personal.                                                                                              ",,Tanya Nolan        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
22,Optional 24hour parallelism                    ,Experience itself improve agree practice bank lawyer current. Million industry writer involve western. Follow see his foreign.                                                  ,,Wyatt Caldwell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
23,Front-line holistic Local Area Network         ,Me chair decade music matter agent. Figure your citizen only care need box religious. Near purpose Congress begin room American part.                                           ,,Timothy Howell     ,nan
24,Triple-buffered eco-centric strategy           ,Others indeed no director. Head hair key director either likely. Record bring nice than.                                                                                        ,,Greg Mueller       ,nan
25,Adaptive client-server knowledgebase           ,"Pressure his forward.
                                                          Believe but become trial heart morning herself. Tv member party you step whose. Several maybe girl fall.                                                                       ",,Brian Solomon      ,nan
26,Reverse-engineered composite paradigm          ,"Large cell medical energy defense drop. Those low eight across then central see. Who organization can young most student.
                                                          Executive talk its magazine let. Economic sound remember product.                                                                                                              ",,Bryan Watson       ,nan
27,Business-focused value-added projection        ,"Conference camera kitchen paper against onto research. Magazine myself write next painting never well. Doctor add exactly we product.
                                                          Think address once ahead. Both quality various become thus ever.                                                                                                               ",,Brian Solomon      ,nan
28,Sharable multi-state orchestration             ,"Seat next customer suddenly page. Reflect election executive break. Ahead myself throughout people smile.
                                                          Claim should likely bed buy. Serious consider high animal woman begin training.                                                                                                ",,Nicole Lee         ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
29,Centralized explicit model                     ,"Everything view show simple design beautiful huge. Now enter usually carry phone history and.
                                                          Add begin left official green without themselves. Social agree to begin often. Forget century among able.                                                                      ",,Edward Evans       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
30,Phased didactic frame                          ,"Quite mean effort cell. Air more sound million.
                                                          Can develop hotel social pick onto. Conference want operation whether budget. Hospital truth if sport other.                                                                   ",,Jacqueline Jensen  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
31,Triple-buffered composite Internet solution    ,Everyone everybody beyond often data group something speak. Protect possible usually listen turn power director. Job during seven scientist type possible.                      ,,Greg Mueller       ,nan
32,Managed modular forecast                       ,"Trip couple free difference support admit.
                                                          Go ever set these do environmental. Call drive tonight game her stand understand when. Perform life rich teach.                                                                ",,Hector White       ,nan
33,Enhanced maximized extranet                    ,"Focus manage customer money physical few. Computer either prepare paper now without. Arrive improve woman mission coach prove.
                                                          Probably else kind fear. Language why two chair security forget.                                                                                                               ",,Drew Bond          ,nan
