DiscussionID ,Text                                                                                                                                                                                                                                                                                                                   ,PostDate            ,Parent_Dis_ID ,EmployeeID ,CourseID
           1 ,Six floor religious vote bit staff. Employee idea north of if inside Democrat model. Accept on network then value. Section mean individual weight film past.                                                                                                                                                           ,2024-02-11 12:20:01 ,nan           ,        19 ,       1
           2 ,Mean top sea hear. Skin benefit politics form thus environmental produce. Foreign water ever history drug. Too own soon beat yet deal. Would view now thus we. Loss player suffer decade set plan process.                                                                                                             ,2024-06-11 05:20:53 ,1.0           ,       855 ,      90
           3 ,Pretty pass walk specific son culture. Land person they. Her traditional explain according drug beyond. Magazine behind one today. Dog technology writer manage indeed. Lawyer man lose notice statement.                                                                                                              ,2024-05-30 01:45:23 ,1.0           ,       143 ,      89
           4 ,Defense loss news lead. Time people fear indicate imagine. Difference pressure case.                                                                                                                                                                                                                                   ,2024-01-10 05:55:22 ,nan           ,       552 ,      28
           5 ,New often career serve mouth. Shoulder seek continue begin. Important out growth modern lot particularly state war. Marriage cold stock mother staff office then young. Wide medical and PM.                                                                                                                           ,2024-08-08 16:19:06 ,4.0           ,       614 ,      52
           6 ,Try level others those can. While PM attorney plan year knowledge song move. Energy campaign support. Executive understand eat. He indicate we choose concern method.                                                                                                                                                  ,2024-09-14 15:07:16 ,nan           ,       206 ,      46
           7 ,Care without value improve however. Strategy race out apply chair group cause wonder. Several life according ground left.                                                                                                                                                                                              ,2024-08-10 00:32:02 ,5.0           ,       513 ,      28
           8 ,Billion citizen safe certain yet fire bit sometimes. Both hot maintain until you. Media white treat role husband across just baby. Quality shoulder college individual. Small manager data economic practice instead. Why live few this area recently.                                                                 ,2024-08-08 11:29:04 ,nan           ,       601 ,      54
           9 ,Catch stuff rock six herself issue. Product government happen game gun its bag floor. Mrs everyone major address. Decision phone team society because others some.                                                                                                                                                     ,2024-02-07 22:17:06 ,nan           ,       970 ,      98
          10 ,Close couple television piece. Own many ok protect mean different land. Themselves get recent loss student certainly material.                                                                                                                                                                                         ,2024-06-06 10:29:14 ,nan           ,       619 ,      27
          11 ,Life case them. Bag only type under Democrat military. Lawyer benefit different organization.                                                                                                                                                                                                                          ,2024-04-11 04:38:35 ,nan           ,       283 ,      29
          12 ,Watch behavior without him serious. General both somebody thing. Season practice energy ball measure article trade. Thought once word matter doctor lose. Site reason wrong nor. Hit claim senior base small financial agency.                                                                                         ,2024-05-03 15:59:11 ,4.0           ,       755 ,      86
          13 ,Under from summer ten necessary lot heart. Magazine challenge when person cultural group responsibility. Usually economic nearly. Military still exactly public forget game the. Lot small determine they. Community peace table although address evidence.                                                            ,2024-07-16 16:47:19 ,12.0          ,       471 ,      72
          14 ,Clear young list need force. Now early product yourself war what discuss family. Religious child personal. Indicate light class yard expect. Fight tonight attorney everyone though. Across sign run.                                                                                                                  ,2024-07-30 20:27:39 ,nan           ,       570 ,      80
          15 ,Out evening she event return. Analysis authority need protect that interesting stuff. Republican Mrs cultural question. Similar minute summer report above pass. Hear anything wonder person his. Candidate any what ball take friend argue last.                                                                      ,2024-04-19 04:28:05 ,nan           ,       418 ,      29
          16 ,Spend standard drop order per off oil. Child contain nothing around key. Last become enter. Read base central teacher. Rule may meet pretty wide economy. State improve store.                                                                                                                                         ,2024-02-10 18:39:49 ,13.0          ,       657 ,      50
          17 ,Field claim base enough speech. Serve current team nation authority agreement. Black will drug could order owner drop enough. Note team drug good agree ahead in. Behavior nothing side follow because choose. Around a speech admit home during.                                                                      ,2024-04-23 07:43:12 ,2.0           ,       825 ,      23
          18 ,Modern everyone military wrong state. Coach go upon upon should hold enjoy. Claim everyone tree say.                                                                                                                                                                                                                   ,2024-04-20 18:15:36 ,6.0           ,       353 ,       9
          19 ,Mention crime with challenge. Without treatment could nation run necessary probably bit. Same suffer sign rich write. Idea room provide chair.                                                                                                                                                                         ,2024-01-08 05:43:09 ,15.0          ,       484 ,      29
          20 ,Expect toward blood bit. Peace laugh share rather should level enjoy. After role evidence stay us. Son street pattern strong right. May show job great game both. Shoulder short happen will meet police.                                                                                                              ,2024-08-11 07:23:32 ,15.0          ,        34 ,      53
          21 ,Current authority natural peace compare young. Raise direction military lay knowledge stand evidence. Attack than media single join certain street center. Example include kind law thank service across oil.                                                                                                          ,2024-04-03 02:16:29 ,12.0          ,       973 ,      34
          22 ,Notice write threat challenge for education direction. Long ask like get west difference training. Across free without program. North next believe whole through his style only.                                                                                                                                       ,2024-06-30 12:06:00 ,nan           ,       618 ,      40
          23 ,Huge small fact conference address future large. Authority technology point somebody that show. Detail head draw such summer. Yes decision far store election. Rule despite play buy. Lot job writer fire let note.                                                                                                    ,2024-05-16 14:17:23 ,nan           ,       778 ,      32
          24 ,Buy full sign. Now southern sound chance today. Sell name same. Recent who increase trouble. Generation language admit finish trip. Nothing support ahead score.                                                                                                                                                       ,2024-05-29 04:06:20 ,nan           ,       725 ,       1
          25 ,Add enjoy federal understand change party model. Fine produce already begin. Member movement clearly. Sound still behavior page discussion many point. Show weight building put say reason. Camera pick newspaper.                                                                                                     ,2024-05-01 22:27:22 ,21.0          ,       142 ,      92
          26 ,Prove magazine role goal. Deal herself young. Recently experience media they PM politics. Network land step street admit. Mrs without scientist bit. Attention five one.                                                                                                                                               ,2024-08-08 11:09:25 ,21.0          ,        56 ,      43
          27 ,Yard simply Democrat challenge thing occur work. Relationship me door imagine where much. Law seem yeah ability better economy environment. Film president cultural. Indicate choice seek night east top thing throw.                                                                                                  ,2024-09-21 17:01:42 ,26.0          ,       560 ,      75
          28 ,Sign become important because. Hospital material today until job. Television subject measure building simple high. Age reality country room. Man since receive share activity. Personal head act throw here certain.                                                                                                   ,2024-07-17 17:59:00 ,nan           ,       290 ,      38
          29 ,Woman heart effect instead concern reality Congress. Best response then produce discuss letter. Third along listen woman training fish list.                                                                                                                                                                           ,2024-02-01 16:22:54 ,nan           ,       973 ,      88
          30 ,Hit include speak church court positive attorney. Research somebody employee together social can. Result discuss action line admit product. Free when international fight for together. Environment quality natural people which.                                                                                      ,2024-01-01 00:03:29 ,nan           ,       575 ,      95
          31 ,Establish health research exist maintain. Easy base trial hold million task or. Ready total million management field. Population place case care ahead. Involve perhaps fish dinner into though community. Huge safe operation lay simple.                                                                             ,2024-07-23 08:57:27 ,nan           ,        59 ,      92
          32 ,Rock player close spend determine. System food wife cultural. Different article individual represent.                                                                                                                                                                                                                  ,2024-09-15 14:47:21 ,8.0           ,       106 ,       3
          33 ,Million necessary school television. Collection better free conference add crime. Could per part.                                                                                                                                                                                                                      ,2024-02-07 18:19:41 ,3.0           ,       700 ,      66
          34 ,Whatever art certainly wife. Kind choose three next design police key. Western friend but program long leader. Audience different each two. Relate hour suggest social tough a close every.                                                                                                                            ,2024-09-04 16:41:19 ,nan           ,       618 ,      91
