EmployeeID ,AverageRating      ,FeedbackCount ,LastSubmittedAt
         3 ,1.0                ,            1 ,2024-01-13 05:02:30
         5 ,5.0                ,            1 ,2024-05-09 00:02:44
         6 ,3.0                ,            1 ,2024-08-10 11:56:25
         9 ,3.0                ,            1 ,2024-04-28 17:33:05
        10 ,4.0                ,            1 ,2024-05-21 11:10:32
        17 ,4.5                ,            2 ,2024-09-24 18:01:27
        21 ,1.0                ,            1 ,2024-08-04 02:33:51
        22 ,1.0                ,            1 ,2024-07-06 16:48:25
        26 ,5.0                ,            1 ,2024-05-28 03:37:22
        31 ,2.0                ,            1 ,2024-08-15 09:47:24
        35 ,5.0                ,            1 ,2024-03-04 22:08:23
        36 ,3.0                ,            1 ,2024-02-02 10:59:58
        37 ,4.333333333333333  ,            3 ,2024-08-08 14:38:03
        40 ,3.0                ,            1 ,2024-07-21 06:43:56
        42 ,5.0                ,            1 ,2024-05-12 17:31:04
        43 ,5.0                ,            1 ,2024-04-30 10:46:34
        44 ,3.0                ,            2 ,2024-09-06 14:42:32
        45 ,2.5                ,            2 ,2024-03-01 23:01:52
        46 ,2.0                ,            1 ,2024-06-03 02:31:35
        47 ,2.0                ,            1 ,2024-02-28 20:17:30
        48 ,4.0                ,            1 ,2024-03-11 15:12:14
        49 ,4.0                ,            1 ,2024-02-20 19:50:09
        50 ,4.0                ,            1 ,2024-04-28 20:45:40
        53 ,1.0                ,            1 ,2024-03-31 11:37:31
        58 ,2.5                ,            2 ,2024-03-21 05:01:47
        60 ,1.0                ,            1 ,2024-01-14 19:33:49
        62 ,5.0                ,            1 ,2024-06-05 16:27:37
        63 ,2.0                ,            1 ,2024-07-01 08:05:07
        64 ,3.0                ,            1 ,2024-06-15 16:32:35
        65 ,3.0                ,            1 ,2024-01-29 00:34:02
        68 ,1.0                ,            1 ,2024-09-14 14:39:32
        73 ,1.5                ,            2 ,2024-07-01 04:41:14
        75 ,5.0                ,            1 ,2024-03-31 22:47:51
        76 ,4.0                ,            1 ,2024-09-17 11:22:11
        79 ,2.3333333333333335 ,            3 ,2024-09-22 18:48:15
        84 ,3.3333333333333335 ,            3 ,2024-04-04 23:54:53
        87 ,2.0                ,            1 ,2024-09-05 09:18:56
        88 ,1.0                ,            1 ,2024-10-04 01:55:46
        90 ,4.0                ,            1 ,2024-06-12 03:13:19
        91 ,1.0                ,            1 ,2024-01-05 10:33:00
        95 ,4.5                ,            2 ,2024-08-15 22:50:59
        97 ,2.6666666666666665 ,            3 ,2024-09-17 09:22:46
        99 ,3.0                ,            1 ,2024-09-16 02:48:20
       100 ,1.0                ,            1 ,2024-08-30 19:59:54
       102 ,4.0                ,            1 ,2024-04-29 16:10:05
       104 ,4.0                ,            1 ,2024-07-29 08:40:00
       106 ,2.0                ,            1 ,2024-02-18 21:18:51
       110 ,4.0                ,            1 ,2024-02-14 17:46:58
       115 ,2.0                ,            1 ,2024-05-22 07:49:10
       116 ,3.0                ,            1 ,2024-01-03 06:18:17
       118 ,4.0                ,            1 ,2024-06-15 22:23:12
       119 ,3.0                ,            2 ,2024-08-23 14:56:58
       120 ,4.0                ,            2 ,2024-07-05 18:42:29
       124 ,2.0                ,            2 ,2024-03-24 17:59:10
       126 ,5.0                ,            1 ,2024-05-19 08:39:49
       127 ,2.0                ,            1 ,2024-07-27 06:06:18
       137 ,3.0                ,            1 ,2024-01-03 21:17:52
       138 ,1.0                ,            1 ,2024-01-26 16:52:21
       146 ,5.0                ,            1 ,2024-08-25 18:25:47
