EmployeeID ,Department          ,DiscussionCount ,AverageRating ,FeedbackCount ,TotalCourseCount ,AverageQuizScore ,TotalTimeSpent ,EngagementLevelScore ,EngagementLevel
         1 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
         2 ,Engineering         ,           1.42 ,         1.31 ,         2.1  ,               1 ,              14 ,           293 , 34.0315             ,Low
         3 ,Operations          ,          13.64 ,         3.98 ,        36.02 ,               2 ,              48 ,           174 , 40.727000000000004  ,Low
         4 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
         5 ,Engineering         ,          10.43 ,         3.11 ,        39.23 ,               3 ,              45 ,           137 , 36.2595             ,Low
         6 ,Operations          ,           2.39 ,         1.37 ,         3.24 ,               1 ,               7 ,           261 , 29.518500000000003  ,Low
         7 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
         8 ,Legal               ,          14.75 ,         3.42 ,        31.01 ,               2 ,              50 ,            46 , 27.507000000000005  ,Low
         9 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        10 ,Engineering         ,           2.05 ,         1.37 ,         8.92 ,               1 ,              10 ,           245 , 29.7365             ,Low
        11 ,IT                  ,          14.97 ,         3.44 ,        30.45 ,               2 ,              41 ,           101 , 30.694000000000003  ,Low
        12 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        13 ,Human Resources     ,          11.35 ,         3.65 ,        35.73 ,               2 ,              60 ,           106 , 36.328500000000005  ,Low
        14 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        15 ,Legal               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        16 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        17 ,Legal               ,          11.22 ,         3.63 ,        32.81 ,               2 ,              51 ,           271 , 49.9635             ,Low
