DiscussionCount ,AverageRating ,FeedbackCount ,TotalCourseCount ,AverageQuizScore ,TotalTimeSpent ,EngagementLevelScore ,EngagementLevel
           0.75 ,         1.69 ,         9.92 ,               1 ,               7 ,           119 , 16.4065             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.65 ,         1.12 ,         4.92 ,               1 ,              14 ,           170 , 22.494              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.33 ,         3.89 ,        36.55 ,               3 ,              47 ,            33 , 26.1985             ,              0
          12.28 ,         3.91 ,        35.3  ,               2 ,              46 ,           203 , 42.6935             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.62 ,         0.13 ,         4.37 ,               1 ,               6 ,           118 , 14.5305             ,              0
           2.33 ,         0.53 ,         5.89 ,               1 ,               1 ,            90 , 11.2265             ,              0
           0.17 ,         0.24 ,         4.62 ,               1 ,              15 ,           227 , 27.668000000000003  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.18 ,         0.88 ,         9.77 ,               1 ,               3 ,           296 , 32.96               ,              0
           2.22 ,         1.46 ,         5.74 ,               1 ,              15 ,           236 , 29.507              ,              0
           1.07 ,         1.33 ,         5.54 ,               1 ,               8 ,            95 , 13.3545             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.49 ,         1.54 ,         6.33 ,               1 ,               9 ,           161 , 20.699              ,              0
           2.91 ,         1.79 ,         2.6  ,               1 ,              16 ,           290 , 34.7495             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.47 ,         1.79 ,         5.46 ,               1 ,              10 ,           217 , 26.033500000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.42 ,         0.56 ,         5.92 ,               1 ,               8 ,            24 ,  6.408              ,              0
           0.86 ,         1.52 ,         6.01 ,               1 ,              11 ,           266 , 31.304              ,              0
          14.58 ,         3.17 ,        39.56 ,               2 ,              43 ,           166 , 39.37050000000001   ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          13.07 ,         3.86 ,        30.81 ,               2 ,              49 ,           144 , 36.791              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.44 ,         1.16 ,         6.66 ,               1 ,               4 ,           221 , 25.410000000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.26 ,         1.25 ,         7.17 ,               1 ,              18 ,           274 , 34.298500000000004  ,              0
           1.52 ,         0.69 ,         5.56 ,               1 ,              16 ,           191 , 24.8885             ,              0
          11.44 ,         3.25 ,        36.39 ,               2 ,              48 ,           234 , 46.1785             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.65 ,         0.18 ,         8.98 ,               1 ,               2 ,           309 , 33.971000000000004  ,              0
          11.34 ,         3.67 ,        38.15 ,               2 ,              59 ,            50 , 30.9655             ,              0
          13.87 ,         3.87 ,        37.42 ,               3 ,              54 ,            11 , 26.4255             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          10.65 ,         3.75 ,        30.0  ,               2 ,              41 ,           136 , 33.3175             ,              0
          14.64 ,         3.9  ,        33.67 ,               2 ,              46 ,           161 , 38.637              ,              0
           1.43 ,         1.53 ,         1.58 ,               1 ,               8 ,           150 , 18.1845             ,              0
           2.26 ,         1.95 ,         4.54 ,               1 ,              14 ,            66 , 12.1475             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.35 ,         0.75 ,         7.83 ,               1 ,              17 ,           224 , 28.673500000000004  ,              0
           1.41 ,         1.79 ,         5.45 ,               1 ,              19 ,           270 , 33.7695             ,              0
           2.95 ,         0.86 ,         7.18 ,               1 ,              18 ,           130 , 19.941000000000003  ,              0
           0.7  ,         1.12 ,         9.54 ,               1 ,              12 ,            96 , 15.128000000000002  ,              0
           0.88 ,         1.96 ,         7.43 ,               1 ,              16 ,            40 , 10.352              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.08 ,         1.53 ,         6.64 ,               1 ,              11 ,           175 , 22.3765             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.08 ,         0.07 ,         9.02 ,               1 ,              14 ,            26 ,  8.1375             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.39 ,         1.37 ,         3.24 ,               1 ,               7 ,           261 , 29.518500000000003  ,              0
          14.07 ,         3.56 ,        37.44 ,               2 ,              48 ,            70 , 30.592              ,              0
           1.37 ,         0.59 ,         7.71 ,               1 ,               0 ,           233 , 25.4635             ,              0
