EngagementID,TimeStart,TimeEnd,TimeSpent,IsCompleted,EmployeeID,ModuleID,CourseID
76,2024-10-03 19:53:13.367,2024-10-03 19:53:18.266,4,True,1,20,6
105,2024-10-10 04:51:05.674,2024-10-10 04:51:07.546,2,True,6,29,8
77,2024-10-04 04:32:48.969,2024-10-04 04:32:50.128,3,True,1,30,8
80,2024-10-04 04:32:50.129,2024-10-04 04:32:52.289,2,True,1,31,8
78,2024-10-04 04:32:52.289,2024-10-04 04:32:55.520,5,True,1,32,8
79,2024-10-04 04:32:59.073,2024-10-04 04:33:04.057,7,True,1,29,8
106,2024-10-10 04:51:14.202,2024-10-10 04:51:16.514,3,True,6,32,8
83,2024-10-04 06:15:14.992,2024-10-04 06:15:31.720,16,True,6,18,6
84,2024-10-04 06:15:31.720,2024-10-04 06:15:41.840,10,True,6,19,6
85,2024-10-04 06:16:16.968,2024-10-04 06:16:19.912,2,True,6,20,6
86,2024-10-04 06:16:27.503,2024-10-04 06:16:28.423,0,True,6,21,6
87,2024-10-04 06:16:30.504,2024-10-04 06:16:31.528,1,True,6,22,6
88,2024-10-04 07:27:46.419,2024-10-04 07:28:22.002,35,True,5,33,9
90,2024-10-04 11:55:00.392,2024-10-04 11:55:06.128,5,True,1,23,7
91,2024-10-04 11:55:06.128,2024-10-04 11:55:20.791,14,True,1,24,7
92,2024-10-04 11:55:20.791,2024-10-04 11:55:36.504,15,True,1,25,7
93,2024-10-04 11:55:36.504,2024-10-04 11:55:41.831,5,True,1,26,7
94,2024-10-04 11:55:41.832,2024-10-04 11:55:44.216,2,True,1,27,7
89,2024-10-04 12:01:42.783,,3,True,1,33,9
74,2024-10-04 12:05:57.209,,3,True,1,16,5
75,2024-10-04 12:05:58.864,2024-10-04 12:05:59.968,9,True,1,17,5
104,2024-10-10 04:53:03.706,2024-10-10 04:53:04.762,4,True,6,28,8
107,2024-10-10 05:21:02.211,2024-10-10 05:21:03.139,0,True,6,30,8
108,2024-10-10 05:21:51.342,2024-10-10 05:21:54.875,3,True,6,31,8
72,2024-10-04 12:07:47.584,2024-10-04 12:07:52.864,26,True,1,13,5
95,2024-10-04 12:07:52.865,2024-10-04 12:08:36.376,45,True,1,14,5
96,2024-10-04 14:10:08.999,2024-10-04 14:10:14.381,5,True,5,13,5
109,2024-10-10 05:23:34.987,2024-10-10 05:23:38.683,3,True,6,33,9
97,2024-10-04 14:10:30.399,2024-10-04 14:10:32.831,6,True,5,14,5
98,2024-10-04 14:10:32.831,2024-10-04 14:10:38.547,5,True,5,15,5
99,2024-10-04 14:10:38.547,2024-10-04 14:10:42.963,4,True,5,16,5
110,2024-10-10 05:26:29.619,2024-10-10 05:26:32.307,2,True,6,34,9
111,2024-10-10 05:29:46.683,2024-10-10 05:29:51.075,4,True,6,35,9
81,2024-10-04 14:21:03.148,2024-10-04 14:21:23.681,39,True,1,28,8
73,2024-10-03 19:45:47.418,2024-10-03 19:45:50.550,3,True,1,15,5
112,2024-10-10 08:08:13.406,2024-10-10 08:08:15.966,2,True,6,36,9
101,2024-10-10 04:27:25.466,2024-10-10 04:27:26.577,1,True,6,17,5
102,2024-10-10 04:27:26.577,2024-10-10 04:27:27.393,0,True,6,16,5
100,2024-10-10 04:27:27.393,2024-10-10 04:27:29.145,7,True,6,15,5
103,2024-10-10 04:27:29.146,2024-10-10 04:27:31.089,1,True,6,14,5
82,2024-10-10 04:27:31.089,2024-10-10 04:27:32.545,11,True,6,13,5
